integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,total_papers
YAMILE CARDONA MAYA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001376475,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),Y2p7DZwAAAAJ,4,2
VICTOR DANIEL GIL VERA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001482462,SISCO,2014-01-01, Actual,Maestría/Magister,Investigador Asociado (I),1-4BHH8AAAAJ,6,32
ANDRES MAURICIO GRISALES AGUIRRE,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436256,SISCO,2015-11-01, Actual,Maestría/Magister,Sin clasificar,-urmP7EAAAAJ,3,4
EDGAR ANDRES CHAVARRIAGA MIRANDA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001405175,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),qSOzbFwAAAAJ,2,12
FRANKLIN FERRARO GOMEZ,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000651532,SISCO,2013-07-01, Actual,Doctorado,Investigador Junior (IJ),DNeZOJUAAAAJ,11,15
GABRIEL JAIME POSADA HERNANDEZ,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000409774,SISCO,2011-01-01, Actual,Maestría/Magister,Sin clasificar,_uwscnEAAAAJ,3,0
INGRID DURLEY TORRES PARDO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001404075,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),nchHazIAAAAJ,6,4
JUAN SEBASTIAN PARRA SANCHEZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000072898,SISCO,2020-05-01, Actual,Especialización,Sin clasificar,NA,0,0
LINA MARIA MONTOYA SUAREZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001456255,SISCO,2014-04-01, Actual,Maestría/Magister,Investigador Asociado (I),7Y-8siIAAAAJ,5,4
LUIS FERNANDO CARDONA PALACIO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472696,SISCO,2014-07-01, Actual,Doctorado,Investigador Junior (IJ),hOgH7HAAAAAJ,4,5
MARIA JULIA NIETO CALLEJAS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005825,SISCO,2018-08-01, Actual,Maestría/Magister,Sin clasificar,XuxhAV0AAAAJ,1,0
MARIO ALEJANDRO LOPEZ OCAMPO,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001468719,SISCO,2013-07-01, Actual,Maestría/Magister,Sin clasificar,bH74frMAAAAJ,3,0
MAURICIO LOPEZ BONILLA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001381737,SISCO,2011-06-01, Actual,Maestría/Magister,Sin clasificar,lQqAfmwAAAAJ,4,0
RUBEN DARIO GOMEZ GUTIERREZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001000853,SISCO,2019-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
SARA MARIA AGUILAR SIERRA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001432936,SISCO,2018-02-01, Actual,Doctorado,Sin clasificar,_RFI4pkAAAAJ,3,1
SHIRLENE PATRICIA VEGA ROYERO,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436238,SISCO,2015-11-01, Actual,Doctorado,Investigador Junior (IJ),yQ7g9xUAAAAJ,3,4
SUYIS YAJAIRA LOZANO GARCIA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001610177,SISCO,2020-07-01, Actual,Maestría/Magister,Sin clasificar,z1vjdF0AAAAJ,0,0
YODER ALBERTO SUAZA TABARES,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009408,SISCO,2019-07-01, Actual,Doctorado,Sin clasificar,NA,0,2
ELVIGIA CARDONA ZULETA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001461785,JURIDICAS Y SOCIALES,2019-08-01, Actual,Maestría/Magister,Sin clasificar,SteXGqYAAAAJ,3,0
NATALIA ANDREA ALZATE ALZATE,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000964875,JURIDICAS Y SOCIALES,2019-08-01, Actual,Doctorado,Sin clasificar,sAljacYAAAAJ,1,0
DANY STEVEN GOMEZ AGUDELO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000107135,JURIDICAS Y SOCIALES,2019-01-01, Actual,Maestría/Magister,Sin clasificar,YaysRIIAAAAJ,2,2
DAVID ANDRES DIEZ GOMEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000687235,JURIDICAS Y SOCIALES,2020-02-01, Actual,Doctorado,Investigador Junior (IJ),BQTiYNcAAAAJ,5,0
JENNY MARCELA ACEVEDO VALENCIA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001186337,JURIDICAS Y SOCIALES,2019-08-01, Actual,Maestría/Magister,Sin clasificar,ul0fN9wAAAAJ,4,2
JORGE IVAN GAVIRIA MESA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009881,JURIDICAS Y SOCIALES,2013-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),mh-AeYwAAAAJ,3,2
JUAN ESTEBAN AGUIRRE ESPINOSA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436904,JURIDICAS Y SOCIALES,2018-05-01, Actual,Maestría/Magister,Investigador Asociado (I),9QD3rjkAAAAJ,2,1
LAURA VICTORIA CARDENAS ROJAS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001550884,JURIDICAS Y SOCIALES,2018-07-01, Actual,Maestría/Magister,Sin clasificar,VlC916UAAAAJ,1,0
MARIA ISABEL URIBE LOPEZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001632464,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,QbjM9m0AAAAJ,2,0
MAURICIO MEJIA LOBO,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000621641,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,RCtbsjMAAAAJ,1,0
MAYDA SORAYA MARIN GALEANO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001373816,JURIDICAS Y SOCIALES,2019-09-01, Actual,Doctorado,Investigador Junior (IJ),1x5m4ywAAAAJ,4,1
PAOLA ANDREA CARMONA TORO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001469181,JURIDICAS Y SOCIALES,2019-08-01, Actual,Doctorado,Sin clasificar,NA,0,0
ROBERTO MAURICIO ROMERO CARDENAS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000080033,JURIDICAS Y SOCIALES,2017-09-01, Actual,Maestría/Magister,Sin clasificar,YdeOxzsAAAAJ,0,2
JENNIFFER LONDONO JURADO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000023226,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,XFBxR6kAAAAJ,1,1
JORGE EDUARDO VASQUEZ SANTAMARIA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001228234,JURIDICAS Y SOCIALES,2019-01-01, Actual,Especialización,Investigador Asociado (I),v8GT-VAAAAAJ,7,3
JORMARIS MARTINEZ GOMEZ,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045977,GORAS,2014-05-01, Actual,Doctorado,Investigador Senior (IS),3vFUn4wAAAAJ,7,3
LUIS FERNANDO QUINTERO ARANGO,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001338621,GORAS,2015-07-01, Actual,Doctorado,Investigador Asociado (I),vu06sqwAAAAJ,5,13
ALEJANDRA MARIA LUJAN JARAMILLO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000130807,GORAS,2017-06-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
ANA MARIA CHAUX GUTIERREZ,Integrante,18,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001372410,GORAS,2020-02-01, Actual,Doctorado,Investigador Junior (IJ),ZBh57LoAAAAJ,5,0
DANIEL MUNOZ QUINTERO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001660142,GORAS,2019-02-01, Actual,Técnico,Sin clasificar,Fp-EtWwAAAAJ,0,1
JAIME ALBERTO BELTRAN RIOS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001434708,GORAS,2015-05-01, Actual,Maestría/Magister,Investigador Asociado (I),bjYfxdwAAAAJ,3,3
JAMES ALBERTO MARULANDA PATINO,Integrante,14,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001455988,GORAS,2016-01-01, Actual,Maestría/Magister,Investigador Asociado (I),NA,0,0
JORGE IVAN JIMENEZ SANCHEZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000006821,GORAS,2016-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),FF97f1MAAAAJ,8,5
JOSE ANTONIO LOPEZ GIRALDO,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000038887,GORAS,2015-02-01, Actual,Maestría/Magister,Investigador Asociado (I),jCYg-jsAAAAJ,4,4
JUAN CAMILO GUILLEN BETANCUR,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001866333,GORAS,2021-02-01, Actual,Especialización,Sin clasificar,NA,0,0
MARIO LEON RESTREPO MUNERA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000971545,GORAS,2006-02-01, Actual,Especialización,Sin clasificar,NA,0,1
MAURICIO ALEJANDRO BEDOYA JIMENEZ,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001429266,GORAS,2016-01-01, Actual,Maestría/Magister,Sin clasificar,wDY8t8gAAAAJ,1,3
MONICA ELIANA ARISTIZABAL VELASQUEZ,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000324990,GORAS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
NESTOR EDUARDO FLOREZ OVIEDO,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001452620,GORAS,2018-01-01, Actual,Maestría/Magister,Sin clasificar,3oUj4vUAAAAJ,0,0
SANDRA MILENA MALAVERA PINEDA,Integrante,32,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001340431,GORAS,2017-02-01, Actual,Maestría/Magister,Sin clasificar,qvBehKYAAAAJ,1,1
SEBASTIAN ARIAS GIRALDO,Integrante,25,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000014056,GORAS,2018-01-01, Actual,Maestría/Magister,Investigador Junior (IJ),V3rISaoAAAAJ,2,5
SINDY YULIANA GALLEGO TAVERA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000100101,GORAS,2017-01-01, Actual,CvLAC oculto,CvLAC oculto,YNwDcOcAAAAJ,2,0
SUGEY ELENA ANAYA GARCIA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000154141,GORAS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,qPSF-CgAAAAJ,0,2
UBEIMAR AURELIO OSORIO ATEHORTUA,Integrante,33,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001370943,GORAS,2017-06-01, Actual,Maestría/Magister,Investigador Asociado (I),MTw3GSYAAAAJ,1,1
VICTOR DANIEL GIL VERA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001482462,GORAS,2014-12-01, Actual,Maestría/Magister,Investigador Asociado (I),1-4BHH8AAAAJ,6,32
VICTOR HUGO MERINO CORDOBA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001635812,GORAS,2015-01-01, Actual,Doctorado,Investigador Senior (IS),dsuvvNEAAAAJ,2,8
YAMARU DEL VALLE CHIRINOS ARAQUE,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045844,GORAS,2015-01-01, Actual,Doctorado,Investigador Senior (IS),NzpSyf0AAAAJ,6,8
FREDY DE JESUS FERNANDEZ MARQUEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001312642,GORAS,2017-03-01, Actual,Doctorado,Investigador Junior (IJ),1aXOG-MAAAAJ,1,0
JUAN SANTIAGO CALLE PIEDRAHITA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001169017,GORAS,2019-01-01, Actual,Doctorado,Sin clasificar,sXijM8EAAAAJ,4,7
PEDRO LUIS DUQUE HURTADO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001488843,ECOSOL,2017-12-01, Actual,Maestría/Magister,Sin clasificar,tEPrd4IAAAAJ,7,5
MARIA ISABEL GUERRERO MOLINA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000514322,ECOSOL,2018-03-01, Actual,Doctorado,Sin clasificar,PXnaNH4AAAAJ,0,2
DORALICE ORTIZ ORTIZ,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000080474,ECOSOL,2017-10-01, Actual,Maestría/Magister,Sin clasificar,syisuJcAAAAJ,0,0
ELIAS ALEXANDER VALLEJO MONTOYA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000623466,ECOSOL,2014-10-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
JAIME ANTERO ARANGO MARIN,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000657247,ECOSOL,2018-01-01, Actual,Doctorado,Investigador Asociado (I),qn1Kr9EAAAAJ,6,0
LAURA ELENA ZAPATA JIMENEZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000313220,ECOSOL,2016-07-01, Actual,Maestría/Magister,Sin clasificar,IjPj8zoAAAAJ,0,0
LUIS FERNANDO QUIROS ARANGO,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001502345,ECOSOL,2017-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,2
MARTHA DEL SOCORRO ALZATE CARDENAS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000942367,ECOSOL,2014-02-01, Actual,Maestría/Magister,Investigador Asociado (I),bEZsTPUAAAAJ,2,1
OLGA LUCIA ARBOLEDA ALVAREZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000066346,ECOSOL,1995-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),94o7mbgAAAAJ,5,2
OSWALDO ANTONIO SALGADO CANAVERAL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001540063,ECOSOL,2013-06-01, Actual,Maestría/Magister,Sin clasificar,R1p685wAAAAJ,1,1
SEBASTIAN ROBLEDO GIRALDO,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001430153,ECOSOL,2018-08-01, Actual,Doctorado,Investigador Junior (IJ),RGUTAfEAAAAJ,7,4
VICTORIA BLAQUISED RIVERA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000212407,ECOSOL,2013-06-01, Actual,Maestría/Magister,Sin clasificar,oZ4fX-IAAAAJ,0,0
